watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_11,2018-10-30_11,yes,0.5331695331695332,0.5985037406483791,0.2864583333333333,0.387434554973822
2018-10-30_11,2018-10-30_12,no,0.5615763546798029,0.6225165562913907,0.1619718309859155,0.20860927152317882
2018-10-30_11,2018-10-30_13,no,0.5925266903914591,0.5747330960854092,0.27956989247311825,0.21245421245421245
2018-10-30_11,2018-10-30_14,no,0.5816831683168316,0.5875,0.18,0.17412935323383086
2018-10-30_11,2018-10-30_15,no,0.546875,0.5808133472367049,0.24622030237580994,0.2178649237472767
2018-10-30_11,2018-10-30_16,no,0.5393474088291746,0.5199240986717267,0.18,0.16666666666666666
2018-10-30_11,2018-10-30_17,no,0.5540540540540541,0.5610687022900763,0.1556420233463035,0.17408906882591094
2018-10-30_11,2018-10-30_18,no,0.5378927911275416,0.52994555353902,0.17753623188405798,0.17578125
2018-10-30_11,2018-10-30_19,no,0.5673076923076923,0.6054313099041534,0.2222222222222222,0.18566775244299674
2018-10-30_11,2018-10-30_20,no,0.5655737704918032,0.588477366255144,0.15,0.20512820512820512
2018-10-30_12,2018-10-30_11,no,0.5812807881773399,0.5835411471321695,0.1708542713567839,0.1736842105263158
2018-10-30_12,2018-10-30_12,yes,0.5654362416107382,0.5936454849498328,0.23154362416107382,0.29431438127090304
2018-10-30_12,2018-10-30_13,no,0.5751748251748252,0.5754884547069272,0.23508771929824562,0.21785714285714286
2018-10-30_12,2018-10-30_14,no,0.5508684863523573,0.5359801488833746,0.19786096256684493,0.1641025641025641
2018-10-30_12,2018-10-30_15,no,0.5521155830753354,0.5609007164790174,0.24565217391304348,0.23554603854389722
2018-10-30_12,2018-10-30_16,no,0.583969465648855,0.5494296577946768,0.20392156862745098,0.1821705426356589
2018-10-30_12,2018-10-30_17,no,0.5505836575875487,0.5772200772200772,0.21739130434782608,0.17408906882591094
2018-10-30_12,2018-10-30_18,no,0.5638686131386861,0.5719489981785064,0.19540229885057472,0.20229007633587787
2018-10-30_12,2018-10-30_19,no,0.567398119122257,0.5400313971742543,0.21926910299003322,0.19607843137254902
2018-10-30_12,2018-10-30_20,no,0.522633744855967,0.6337448559670782,0.1623931623931624,0.2
2018-10-30_13,2018-10-30_11,no,0.5634146341463414,0.5591133004926109,0.2356020942408377,0.13471502590673576
2018-10-30_13,2018-10-30_12,no,0.519327731092437,0.5503355704697986,0.2271186440677966,0.20202020202020202
2018-10-30_13,2018-10-30_13,yes,0.6461267605633803,0.6567944250871081,0.303886925795053,0.3087719298245614
2018-10-30_13,2018-10-30_14,no,0.5782828282828283,0.54,0.13227513227513227,0.17894736842105263
2018-10-30_13,2018-10-30_15,no,0.5388548057259713,0.5204918032786885,0.20638297872340425,0.18777292576419213
2018-10-30_13,2018-10-30_16,no,0.5352380952380953,0.553875236294896,0.1774193548387097,0.1626984126984127
2018-10-30_13,2018-10-30_17,no,0.6230769230769231,0.5957854406130269,0.21455938697318008,0.2076923076923077
2018-10-30_13,2018-10-30_18,no,0.5277777777777778,0.5175600739371534,0.30268199233716475,0.24324324324324326
2018-10-30_13,2018-10-30_19,no,0.5384615384615384,0.5470494417862839,0.22742474916387959,0.17891373801916932
2018-10-30_13,2018-10-30_20,no,0.5368852459016393,0.551440329218107,0.14782608695652175,0.09917355371900827
2018-10-30_14,2018-10-30_11,no,0.5615763546798029,0.5875,0.15763546798029557,0.27860696517412936
2018-10-30_14,2018-10-30_12,no,0.5503355704697986,0.5604026845637584,0.15666666666666668,0.16722408026755853
2018-10-30_14,2018-10-30_13,no,0.5229681978798587,0.5381882770870338,0.09854014598540146,0.12631578947368421
2018-10-30_14,2018-10-30_14,yes,0.5326633165829145,0.5452261306532663,0.16161616161616163,0.1518324607329843
2018-10-30_14,2018-10-30_15,no,0.5482546201232033,0.5347648261758691,0.19017094017094016,0.19148936170212766
