watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_10,2018-10-30_10,yes,0.5743944636678201,0.5774647887323944,0.22535211267605634,0.30935251798561153
2018-10-30_10,2018-10-30_1_,no,0.5399239543726235,0.6007604562737643,0.1732283464566929,0.248
2018-10-30_10,2018-10-30_2_,no,0.5552631578947368,0.5774278215223098,0.24479166666666666,0.15025906735751296
2018-10-30_10,2018-10-30_3_,no,0.6217616580310881,0.5515463917525774,0.21649484536082475,0.19170984455958548
2018-10-30_10,2018-10-30_4_,no,0.5330739299610895,0.5758754863813229,0.1814516129032258,0.2627450980392157
2018-10-30_10,2018-10-30_5_,no,0.5626740947075209,0.6210826210826211,0.21714285714285714,0.1590909090909091
2018-10-30_10,2018-10-30_6_,no,0.5377777777777778,0.5615212527964206,0.22488038277511962,0.23444976076555024
2018-10-30_10,2018-10-30_7_,no,0.5384615384615384,0.5782442748091603,0.16260162601626016,0.18250950570342206
2018-10-30_10,2018-10-30_8_,no,0.5152057245080501,0.573502722323049,0.1596958174904943,0.18772563176895307
2018-10-30_10,2018-10-30_9_,no,0.545271629778672,0.5291750503018109,0.1762295081967213,0.1934156378600823
2018-10-30_1_,2018-10-30_10,no,0.5694444444444444,0.5594405594405595,0.2206896551724138,0.19444444444444445
2018-10-30_1_,2018-10-30_1_,yes,0.5338345864661654,0.5305343511450382,0.14173228346456693,0.20930232558139536
2018-10-30_1_,2018-10-30_2_,no,0.5210526315789473,0.5184210526315789,0.24324324324324326,0.1956521739130435
2018-10-30_1_,2018-10-30_3_,no,0.5454545454545454,0.5854922279792746,0.15469613259668508,0.1631578947368421
2018-10-30_1_,2018-10-30_4_,no,0.5780346820809249,0.5348837209302325,0.1814516129032258,0.18146718146718147
2018-10-30_1_,2018-10-30_5_,no,0.5416666666666666,0.5826330532212886,0.23837209302325582,0.24571428571428572
2018-10-30_1_,2018-10-30_6_,no,0.5511111111111111,0.550561797752809,0.16363636363636364,0.12440191387559808
2018-10-30_1_,2018-10-30_7_,no,0.525096525096525,0.5794573643410853,0.13438735177865613,0.23715415019762845
2018-10-30_1_,2018-10-30_8_,no,0.517921146953405,0.5563636363636364,0.15827338129496402,0.18007662835249041
2018-10-30_1_,2018-10-30_9_,no,0.545271629778672,0.5413385826771654,0.204,0.20901639344262296
2018-10-30_2_,2018-10-30_10,no,0.519434628975265,0.6254416961130742,0.25547445255474455,0.17518248175182483
2018-10-30_2_,2018-10-30_1_,no,0.5827067669172933,0.5229007633587787,0.2204724409448819,0.21374045801526717
2018-10-30_2_,2018-10-30_2_,yes,0.5854922279792746,0.6171875,0.2925531914893617,0.3403141361256545
2018-10-30_2_,2018-10-30_3_,no,0.5578947368421052,0.6020671834625323,0.15263157894736842,0.12021857923497267
2018-10-30_2_,2018-10-30_4_,no,0.5299806576402321,0.556420233463035,0.1700404858299595,0.20689655172413793
2018-10-30_2_,2018-10-30_5_,no,0.5446927374301676,0.5847457627118644,0.18023255813953487,0.20118343195266272
2018-10-30_2_,2018-10-30_6_,no,0.5247747747747747,0.5535714285714286,0.1688888888888889,0.18660287081339713
2018-10-30_2_,2018-10-30_7_,no,0.5406976744186046,0.5461538461538461,0.156,0.22433460076045628
2018-10-30_2_,2018-10-30_8_,no,0.5571687840290381,0.5517857142857143,0.2744360902255639,0.23049645390070922
2018-10-30_2_,2018-10-30_9_,no,0.5331991951710262,0.571992110453649,0.19672131147540983,0.25
2018-10-30_3_,2018-10-30_10,no,0.5543859649122806,0.5629370629370629,0.1875,0.2206896551724138
2018-10-30_3_,2018-10-30_1_,no,0.5454545454545454,0.571969696969697,0.20930232558139536,0.2713178294573643
2018-10-30_3_,2018-10-30_2_,no,0.5426356589147286,0.5564304461942258,0.13368983957219252,0.17277486910994763
2018-10-30_3_,2018-10-30_3_,yes,0.5380577427821522,0.5447368421052632,0.19889502762430938,0.2896174863387978
2018-10-30_3_,2018-10-30_4_,no,0.5510597302504817,0.530214424951267,0.18253968253968253,0.18775510204081633
2018-10-30_3_,2018-10-30_5_,no,0.547752808988764,0.5714285714285714,0.18888888888888888,0.16853932584269662
2018-10-30_3_,2018-10-30_6_,no,0.5865168539325842,0.5668934240362812,0.24882629107981222,0.14953271028037382
2018-10-30_3_,2018-10-30_7_,no,0.5337186897880539,0.5617760617760618,0.25301204819277107,0.18
2018-10-30_3_,2018-10-30_8_,no,0.5691489361702128,0.5950266429840142,0.16725978647686832,0.26785714285714285
2018-10-30_3_,2018-10-30_9_,no,0.5331991951710262,0.5553359683794467,0.14344262295081966,0.20318725099601595
2018-10-30_4_,2018-10-30_10,no,0.5528169014084507,0.5563380281690141,0.1259259259259259,0.16546762589928057
2018-10-30_4_,2018-10-30_1_,no,0.5795454545454546,0.6159695817490495,0.15503875968992248,0.13740458015267176
2018-10-30_4_,2018-10-30_2_,no,0.5732984293193717,0.5503875968992248,0.12903225806451613,0.18333333333333332
2018-10-30_4_,2018-10-30_3_,no,0.5287958115183246,0.561038961038961,0.1368421052631579,0.16483516483516483
2018-10-30_4_,2018-10-30_4_,yes,0.5965250965250966,0.637065637065637,0.2702702702702703,0.296875
2018-10-30_4_,2018-10-30_5_,no,0.5413105413105413,0.5042016806722689,0.11377245508982035,0.17365269461077845
2018-10-30_4_,2018-10-30_6_,no,0.5472972972972973,0.5590909090909091,0.24770642201834864,0.2350230414746544
2018-10-30_4_,2018-10-30_7_,no,0.5708812260536399,0.5650485436893203,0.23622047244094488,0.18725099601593626
2018-10-30_4_,2018-10-30_8_,no,0.5716878402903811,0.5490196078431373,0.15151515151515152,0.2037735849056604
2018-10-30_4_,2018-10-30_9_,no,0.5642570281124498,0.5401606425702812,0.1625,0.21991701244813278
2018-10-30_5_,2018-10-30_10,no,0.5379310344827586,0.5298245614035088,0.19424460431654678,0.2318840579710145
2018-10-30_5_,2018-10-30_1_,no,0.532319391634981,0.5247148288973384,0.224,0.2
2018-10-30_5_,2018-10-30_2_,no,0.578125,0.5544041450777202,0.24870466321243523,0.19689119170984457
2018-10-30_5_,2018-10-30_3_,no,0.5416666666666666,0.5452196382428941,0.15625,0.16304347826086957
2018-10-30_5_,2018-10-30_4_,no,0.5538461538461539,0.5424710424710425,0.1762295081967213,0.16153846153846155
2018-10-30_5_,2018-10-30_5_,yes,0.5795454545454546,0.5670391061452514,0.3448275862068966,0.2988505747126437
2018-10-30_5_,2018-10-30_6_,no,0.5818181818181818,0.5424107142857143,0.1895734597156398,0.21800947867298578
2018-10-30_5_,2018-10-30_7_,no,0.5387596899224806,0.5572815533980583,0.2196078431372549,0.2637795275590551
2018-10-30_5_,2018-10-30_8_,no,0.5479204339963833,0.5244122965641953,0.275092936802974,0.2593984962406015
2018-10-30_5_,2018-10-30_9_,no,0.5442043222003929,0.5657370517928287,0.19444444444444445,0.2749003984063745
2018-10-30_6_,2018-10-30_10,no,0.5226480836236934,0.607773851590106,0.2,0.24285714285714285
2018-10-30_6_,2018-10-30_1_,no,0.5757575757575758,0.5340909090909091,0.13740458015267176,0.21052631578947367
2018-10-30_6_,2018-10-30_2_,no,0.5658914728682171,0.59375,0.18518518518518517,0.14659685863874344
2018-10-30_6_,2018-10-30_3_,no,0.5641025641025641,0.5644329896907216,0.27461139896373055,0.22043010752688172
2018-10-30_6_,2018-10-30_4_,no,0.5789473684210527,0.5419847328244275,0.18875502008032127,0.1762295081967213
2018-10-30_6_,2018-10-30_5_,no,0.5446927374301676,0.547752808988764,0.1751412429378531,0.18285714285714286
2018-10-30_6_,2018-10-30_6_,yes,0.5752808988764045,0.5647321428571429,0.19907407407407407,0.23394495412844038
2018-10-30_6_,2018-10-30_7_,no,0.5348837209302325,0.5736434108527132,0.11673151750972763,0.18218623481781376
2018-10-30_6_,2018-10-30_8_,no,0.5483870967741935,0.5514184397163121,0.17624521072796934,0.16412213740458015
2018-10-30_6_,2018-10-30_9_,no,0.5434782608695652,0.5467196819085487,0.20078740157480315,0.15966386554621848
2018-10-30_7_,2018-10-30_10,no,0.5259515570934256,0.6202090592334495,0.14814814814814814,0.19852941176470587
2018-10-30_7_,2018-10-30_1_,no,0.5648854961832062,0.5877862595419847,0.2440944881889764,0.2047244094488189
2018-10-30_7_,2018-10-30_2_,no,0.5526315789473685,0.5605263157894737,0.15,0.20212765957446807
2018-10-30_7_,2018-10-30_3_,no,0.5400516795865633,0.6078947368421053,0.13227513227513227,0.1693121693121693
2018-10-30_7_,2018-10-30_4_,no,0.5477582846003899,0.5447619047619048,0.17716535433070865,0.16996047430830039
2018-10-30_7_,2018-10-30_5_,no,0.519774011299435,0.5669515669515669,0.16766467065868262,0.1791907514450867
2018-10-30_7_,2018-10-30_6_,no,0.5452488687782805,0.5355555555555556,0.2398190045248869,0.24
2018-10-30_7_,2018-10-30_7_,yes,0.6027131782945736,0.6800766283524904,0.3231939163498099,0.35384615384615387
2018-10-30_7_,2018-10-30_8_,no,0.5709090909090909,0.6115107913669064,0.1684981684981685,0.2572463768115942
2018-10-30_7_,2018-10-30_9_,no,0.5668662674650699,0.5714285714285714,0.18106995884773663,0.21951219512195122
2018-10-30_8_,2018-10-30_10,no,0.519434628975265,0.5335689045936396,0.2246376811594203,0.14074074074074075
2018-10-30_8_,2018-10-30_1_,no,0.6150943396226415,0.5893536121673004,0.2558139534883721,0.28125
2018-10-30_8_,2018-10-30_2_,no,0.5605263157894737,0.5466321243523317,0.2670157068062827,0.23497267759562843
2018-10-30_8_,2018-10-30_3_,no,0.548051948051948,0.5394736842105263,0.2,0.15
2018-10-30_8_,2018-10-30_4_,no,0.5352380952380953,0.5399239543726235,0.17692307692307693,0.1724137931034483
2018-10-30_8_,2018-10-30_5_,no,0.5612535612535613,0.5126760563380282,0.2694610778443114,0.24550898203592814
2018-10-30_8_,2018-10-30_6_,no,0.5349887133182845,0.5480984340044742,0.22009569377990432,0.13875598086124402
2018-10-30_8_,2018-10-30_7_,no,0.5387596899224806,0.5508637236084453,0.22529644268774704,0.1776061776061776
2018-10-30_8_,2018-10-30_8_,yes,0.6254545454545455,0.6290909090909091,0.36363636363636365,0.37454545454545457
2018-10-30_8_,2018-10-30_9_,no,0.5923694779116466,0.5472837022132797,0.2550607287449393,0.19327731092436976
2018-10-30_9_,2018-10-30_10,no,0.5633802816901409,0.5505226480836237,0.2074074074074074,0.18115942028985507
2018-10-30_9_,2018-10-30_1_,no,0.5437262357414449,0.5572519083969466,0.18253968253968253,0.18461538461538463
2018-10-30_9_,2018-10-30_2_,no,0.572538860103627,0.612565445026178,0.2328042328042328,0.1891891891891892
2018-10-30_9_,2018-10-30_3_,no,0.5587467362924282,0.5546875,0.17647058823529413,0.1935483870967742
2018-10-30_9_,2018-10-30_4_,no,0.5387596899224806,0.5369649805447471,0.1686746987951807,0.164
2018-10-30_9_,2018-10-30_5_,no,0.5602240896358543,0.5625,0.17964071856287425,0.21348314606741572
2018-10-30_9_,2018-10-30_6_,no,0.5522727272727272,0.5701559020044543,0.20657276995305165,0.17757009345794392
2018-10-30_9_,2018-10-30_7_,no,0.5465116279069767,0.5468451242829828,0.21176470588235294,0.20408163265306123
2018-10-30_9_,2018-10-30_8_,no,0.5663082437275986,0.5472727272727272,0.25190839694656486,0.22137404580152673
2018-10-30_9_,2018-10-30_9_,yes,0.6051587301587301,0.5717131474103586,0.233201581027668,0.236
