watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_10,2018-10-30_10,yes,0.583916083916084,0.5868055555555556,0.24647887323943662,0.24113475177304963
2018-10-30_10,2018-10-30_1_,no,0.5283018867924528,0.569811320754717,0.1746031746031746,0.25396825396825395
2018-10-30_10,2018-10-30_2_,no,0.5483028720626631,0.5452196382428941,0.22164948453608246,0.19791666666666666
2018-10-30_10,2018-10-30_3_,no,0.5844155844155844,0.5769230769230769,0.22164948453608246,0.18229166666666666
2018-10-30_10,2018-10-30_4_,no,0.5424710424710425,0.5722543352601156,0.1724137931034483,0.21568627450980393
2018-10-30_10,2018-10-30_5_,no,0.5574229691876751,0.6147308781869688,0.22033898305084745,0.16666666666666666
2018-10-30_10,2018-10-30_6_,no,0.5633484162895928,0.5590200445434298,0.19811320754716982,0.21428571428571427
2018-10-30_10,2018-10-30_7_,no,0.539622641509434,0.5615384615384615,0.18875502008032127,0.16666666666666666
2018-10-30_10,2018-10-30_8_,no,0.5009041591320073,0.5479204339963833,0.14391143911439114,0.1575091575091575
2018-10-30_10,2018-10-30_9_,no,0.5528942115768463,0.5207920792079208,0.2157676348547718,0.18487394957983194
2018-10-30_1_,2018-10-30_10,no,0.6103448275862069,0.5400696864111498,0.24113475177304963,0.15172413793103448
2018-10-30_1_,2018-10-30_1_,yes,0.5413533834586466,0.5407407407407407,0.15748031496062992,0.18518518518518517
2018-10-30_1_,2018-10-30_2_,no,0.5509138381201044,0.5392670157068062,0.22916666666666666,0.19576719576719576
2018-10-30_1_,2018-10-30_3_,no,0.5246753246753246,0.6010362694300518,0.17679558011049723,0.15625
2018-10-30_1_,2018-10-30_4_,no,0.5542857142857143,0.5424710424710425,0.18461538461538463,0.19591836734693877
2018-10-30_1_,2018-10-30_5_,no,0.5524861878453039,0.5738161559888579,0.21839080459770116,0.22093023255813954
2018-10-30_1_,2018-10-30_6_,no,0.5597345132743363,0.541019955654102,0.15813953488372093,0.1523809523809524
2018-10-30_1_,2018-10-30_7_,no,0.5463320463320464,0.5826923076923077,0.1450381679389313,0.2627450980392157
2018-10-30_1_,2018-10-30_8_,no,0.5304659498207885,0.572463768115942,0.2078853046594982,0.17391304347826086
2018-10-30_1_,2018-10-30_9_,no,0.5588235294117647,0.5430861723446894,0.19367588932806323,0.18699186991869918
2018-10-30_2_,2018-10-30_10,no,0.5298245614035088,0.5649122807017544,0.21014492753623187,0.18115942028985507
2018-10-30_2_,2018-10-30_1_,no,0.5814814814814815,0.5265151515151515,0.2153846153846154,0.25190839694656486
2018-10-30_2_,2018-10-30_2_,yes,0.599476439790576,0.6308900523560209,0.30526315789473685,0.3298429319371728
2018-10-30_2_,2018-10-30_3_,no,0.5471204188481675,0.6066838046272494,0.1793478260869565,0.14358974358974358
2018-10-30_2_,2018-10-30_4_,no,0.5445736434108527,0.5445736434108527,0.17886178861788618,0.20866141732283464
2018-10-30_2_,2018-10-30_5_,no,0.543661971830986,0.5921787709497207,0.1839080459770115,0.17222222222222222
2018-10-30_2_,2018-10-30_6_,no,0.5277161862527716,0.5405405405405406,0.15492957746478872,0.1619047619047619
2018-10-30_2_,2018-10-30_7_,no,0.5456273764258555,0.5992366412213741,0.1444866920152091,0.26717557251908397
2018-10-30_2_,2018-10-30_8_,no,0.5515370705244123,0.5409252669039146,0.2074074074074074,0.21631205673758866
2018-10-30_2_,2018-10-30_9_,no,0.54,0.555992141453831,0.2032520325203252,0.22950819672131148
2018-10-30_3_,2018-10-30_10,no,0.5513698630136986,0.5379310344827586,0.19310344827586207,0.19014084507042253
2018-10-30_3_,2018-10-30_1_,no,0.5151515151515151,0.5681818181818182,0.23255813953488372,0.2595419847328244
2018-10-30_3_,2018-10-30_2_,no,0.5218508997429306,0.5706806282722513,0.14594594594594595,0.15979381443298968
2018-10-30_3_,2018-10-30_3_,yes,0.5602094240837696,0.5575916230366492,0.2541436464088398,0.2826086956521739
