watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_10,2018-10-30_10,yes,0.5494880546075085,0.571917808219178,0.20437956204379562,0.19718309859154928
2018-10-30_10,2018-10-30_1_,no,0.5263157894736842,0.5880149812734082,0.1889763779527559,0.2462686567164179
2018-10-30_10,2018-10-30_2_,no,0.5633074935400517,0.5636363636363636,0.20855614973262032,0.17277486910994763
2018-10-30_10,2018-10-30_3_,no,0.6025641025641025,0.5699481865284974,0.19487179487179487,0.20207253886010362
2018-10-30_10,2018-10-30_4_,no,0.5288461538461539,0.5604606525911708,0.1685823754789272,0.23255813953488372
2018-10-30_10,2018-10-30_5_,no,0.5766016713091922,0.6140845070422535,0.21468926553672316,0.19101123595505617
2018-10-30_10,2018-10-30_6_,no,0.5464601769911505,0.5548098434004475,0.21962616822429906,0.23222748815165878
2018-10-30_10,2018-10-30_7_,no,0.5425330812854442,0.5511363636363636,0.145748987854251,0.18490566037735848
2018-10-30_10,2018-10-30_8_,no,0.5099099099099099,0.5675675675675675,0.17424242424242425,0.17921146953405018
2018-10-30_10,2018-10-30_9_,no,0.5546719681908548,0.5108910891089109,0.17842323651452283,0.18775510204081633
2018-10-30_1_,2018-10-30_10,no,0.5605536332179931,0.5379310344827586,0.20567375886524822,0.14482758620689656
2018-10-30_1_,2018-10-30_1_,yes,0.5185185185185185,0.5444444444444444,0.1484375,0.19402985074626866
2018-10-30_1_,2018-10-30_2_,no,0.5324675324675324,0.5208333333333334,0.22043010752688172,0.1935483870967742
2018-10-30_1_,2018-10-30_3_,no,0.5532994923857868,0.6134020618556701,0.15934065934065933,0.14659685863874344
2018-10-30_1_,2018-10-30_4_,no,0.5678776290630975,0.5257142857142857,0.14772727272727273,0.17647058823529413
2018-10-30_1_,2018-10-30_5_,no,0.5552486187845304,0.5983379501385041,0.20809248554913296,0.23163841807909605
2018-10-30_1_,2018-10-30_6_,no,0.5223214285714286,0.54627539503386,0.15492957746478872,0.13901345291479822
2018-10-30_1_,2018-10-30_7_,no,0.5337186897880539,0.5769230769230769,0.15953307392996108,0.2265625
2018-10-30_1_,2018-10-30_8_,no,0.5195729537366548,0.572202166064982,0.1702127659574468,0.17490494296577946
2018-10-30_1_,2018-10-30_9_,no,0.5470588235294118,0.5275590551181102,0.17916666666666667,0.1991869918699187
2018-10-30_2_,2018-10-30_10,no,0.5429553264604811,0.5435540069686411,0.25,0.20863309352517986
2018-10-30_2_,2018-10-30_1_,no,0.5772058823529411,0.5338345864661654,0.22727272727272727,0.24242424242424243
2018-10-30_2_,2018-10-30_2_,yes,0.6015625,0.5803108808290155,0.2708333333333333,0.2849740932642487
2018-10-30_2_,2018-10-30_3_,no,0.5309278350515464,0.5677749360613811,0.16847826086956522,0.14285714285714285
2018-10-30_2_,2018-10-30_4_,no,0.5411089866156787,0.5482625482625483,0.17307692307692307,0.2099236641221374
2018-10-30_2_,2018-10-30_5_,no,0.5421348314606742,0.5642458100558659,0.1657142857142857,0.21637426900584794
2018-10-30_2_,2018-10-30_6_,no,0.5346756152125279,0.6,0.16037735849056603,0.16587677725118483
2018-10-30_2_,2018-10-30_7_,no,0.5342205323193916,0.5635673624288425,0.16733067729083664,0.20754716981132076
2018-10-30_2_,2018-10-30_8_,no,0.5547703180212014,0.5658362989323843,0.24907063197026022,0.24734982332155478
2018-10-30_2_,2018-10-30_9_,no,0.5425742574257426,0.5497076023391813,0.19262295081967212,0.21138211382113822
2018-10-30_3_,2018-10-30_10,no,0.5714285714285714,0.5578231292517006,0.20408163265306123,0.2152777777777778
2018-10-30_3_,2018-10-30_1_,no,0.5037593984962406,0.575187969924812,0.2846153846153846,0.2595419847328244
2018-10-30_3_,2018-10-30_2_,no,0.5498721227621484,0.548051948051948,0.15873015873015872,0.1794871794871795
2018-10-30_3_,2018-10-30_3_,yes,0.5421994884910486,0.53125,0.164021164021164,0.23243243243243245
2018-10-30_3_,2018-10-30_4_,no,0.5257142857142857,0.5531914893617021,0.19291338582677164,0.2073170731707317
2018-10-30_3_,2018-10-30_5_,no,0.55,0.592797783933518,0.20555555555555555,0.18232044198895028
2018-10-30_3_,2018-10-30_6_,no,0.5365853658536586,0.5838926174496645,0.24644549763033174,0.16587677725118483
2018-10-30_3_,2018-10-30_7_,no,0.5383141762452107,0.5246212121212122,0.250996015936255,0.1856060606060606
2018-10-30_3_,2018-10-30_8_,no,0.5759717314487632,0.6038732394366197,0.19718309859154928,0.2605633802816901
2018-10-30_3_,2018-10-30_9_,no,0.5389221556886228,0.5509803921568628,0.14644351464435146,0.17786561264822134
2018-10-30_4_,2018-10-30_10,no,0.563573883161512,0.5451388888888888,0.15714285714285714,0.17142857142857143
2018-10-30_4_,2018-10-30_1_,no,0.5488721804511278,0.5655430711610487,0.17557251908396945,0.11851851851851852
2018-10-30_4_,2018-10-30_2_,no,0.5751295336787565,0.539440203562341,0.15384615384615385,0.21311475409836064
2018-10-30_4_,2018-10-30_3_,no,0.5205128205128206,0.5428571428571428,0.125,0.13186813186813187
2018-10-30_4_,2018-10-30_4_,yes,0.5610687022900763,0.6240458015267175,0.2549800796812749,0.2713178294573643
2018-10-30_4_,2018-10-30_5_,no,0.5859154929577465,0.5151515151515151,0.15976331360946747,0.1893491124260355
2018-10-30_4_,2018-10-30_6_,no,0.545045045045045,0.5395033860045146,0.23076923076923078,0.21962616822429906
2018-10-30_4_,2018-10-30_7_,no,0.5532319391634981,0.5383141762452107,0.234375,0.20912547528517111
2018-10-30_4_,2018-10-30_8_,no,0.5403949730700179,0.5495495495495496,0.15037593984962405,0.19101123595505617
2018-10-30_4_,2018-10-30_9_,no,0.5178571428571429,0.5098039215686274,0.1859504132231405,0.19834710743801653
2018-10-30_5_,2018-10-30_10,no,0.5749128919860628,0.5432525951557093,0.19014084507042253,0.21830985915492956
2018-10-30_5_,2018-10-30_1_,no,0.5037593984962406,0.5204460966542751,0.2421875,0.25196850393700787
2018-10-30_5_,2018-10-30_2_,no,0.5567010309278351,0.5512820512820513,0.2268041237113402,0.20618556701030927
2018-10-30_5_,2018-10-30_3_,no,0.53125,0.5552699228791774,0.18421052631578946,0.1497326203208556
2018-10-30_5_,2018-10-30_4_,no,0.5648854961832062,0.5400763358778626,0.17813765182186234,0.17073170731707318
2018-10-30_5_,2018-10-30_5_,yes,0.5842696629213483,0.5786516853932584,0.2994350282485876,0.2994350282485876
2018-10-30_5_,2018-10-30_6_,no,0.5555555555555556,0.5743243243243243,0.17061611374407584,0.21495327102803738
2018-10-30_5_,2018-10-30_7_,no,0.5557692307692308,0.5491329479768786,0.2364341085271318,0.25
2018-10-30_5_,2018-10-30_8_,no,0.5413669064748201,0.526032315978456,0.22878228782287824,0.25555555555555554
2018-10-30_5_,2018-10-30_9_,no,0.5489021956087824,0.5595238095238095,0.21653543307086615,0.27165354330708663
2018-10-30_6_,2018-10-30_10,no,0.5601374570446735,0.596551724137931,0.18571428571428572,0.21232876712328766
2018-10-30_6_,2018-10-30_1_,no,0.6014760147601476,0.5882352941176471,0.140625,0.22058823529411764
2018-10-30_6_,2018-10-30_2_,no,0.5546875,0.5769230769230769,0.1875,0.1518324607329843
2018-10-30_6_,2018-10-30_3_,no,0.5824742268041238,0.5612244897959183,0.2422680412371134,0.24193548387096775
2018-10-30_6_,2018-10-30_4_,no,0.5473887814313346,0.5337186897880539,0.20948616600790515,0.176
2018-10-30_6_,2018-10-30_5_,no,0.5571030640668524,0.5384615384615384,0.14917127071823205,0.19662921348314608
2018-10-30_6_,2018-10-30_6_,yes,0.5587583148558758,0.5682819383259912,0.18018018018018017,0.20270270270270271
2018-10-30_6_,2018-10-30_7_,no,0.551923076923077,0.551923076923077,0.12648221343873517,0.17928286852589642
2018-10-30_6_,2018-10-30_8_,no,0.5283687943262412,0.5409252669039146,0.17110266159695817,0.1660377358490566
2018-10-30_6_,2018-10-30_9_,no,0.529296875,0.5638506876227898,0.20392156862745098,0.16317991631799164
2018-10-30_7_,2018-10-30_10,no,0.5413793103448276,0.5294117647058824,0.18248175182481752,0.16083916083916083
2018-10-30_7_,2018-10-30_1_,no,0.5461254612546126,0.5902255639097744,0.2153846153846154,0.2196969696969697
2018-10-30_7_,2018-10-30_2_,no,0.5510204081632653,0.5567010309278351,0.16489361702127658,0.20105820105820105
2018-10-30_7_,2018-10-30_3_,no,0.5440414507772021,0.5911458333333334,0.12041884816753927,0.1736842105263158
2018-10-30_7_,2018-10-30_4_,no,0.5521821631878557,0.5549132947976878,0.16030534351145037,0.1659919028340081
2018-10-30_7_,2018-10-30_5_,no,0.5380281690140845,0.584958217270195,0.15976331360946747,0.2
2018-10-30_7_,2018-10-30_6_,no,0.5573033707865168,0.5167785234899329,0.20089285714285715,0.21585903083700442
2018-10-30_7_,2018-10-30_7_,yes,0.5858778625954199,0.6609848484848485,0.30038022813688214,0.3549618320610687
2018-10-30_7_,2018-10-30_8_,no,0.5683453237410072,0.6196428571428572,0.19852941176470587,0.26258992805755393
2018-10-30_7_,2018-10-30_9_,no,0.5404339250493096,0.5768463073852296,0.18032786885245902,0.2217741935483871
2018-10-30_8_,2018-10-30_10,no,0.5360824742268041,0.554006968641115,0.2357142857142857,0.19148936170212766
2018-10-30_8_,2018-10-30_1_,no,0.5793357933579336,0.5917602996254682,0.21212121212121213,0.24427480916030533
2018-10-30_8_,2018-10-30_2_,no,0.5567010309278351,0.5372750642673522,0.25906735751295334,0.25
2018-10-30_8_,2018-10-30_3_,no,0.5466321243523317,0.5194805194805194,0.22950819672131148,0.15846994535519127
2018-10-30_8_,2018-10-30_4_,no,0.5295238095238095,0.5475285171102662,0.16793893129770993,0.17490494296577946
2018-10-30_8_,2018-10-30_5_,no,0.5512465373961218,0.5234159779614325,0.20118343195266272,0.24260355029585798
2018-10-30_8_,2018-10-30_6_,no,0.5548098434004475,0.5436241610738255,0.18018018018018017,0.16964285714285715
2018-10-30_8_,2018-10-30_7_,no,0.5553435114503816,0.5449330783938815,0.2131782945736434,0.18250950570342206
2018-10-30_8_,2018-10-30_8_,yes,0.6276978417266187,0.6371841155234657,0.3381294964028777,0.39492753623188404
2018-10-30_8_,2018-10-30_9_,no,0.5617529880478087,0.5429141716566867,0.20408163265306123,0.18181818181818182
2018-10-30_9_,2018-10-30_10,no,0.5445205479452054,0.5397923875432526,0.18705035971223022,0.20863309352517986
2018-10-30_9_,2018-10-30_1_,no,0.5526315789473685,0.5864661654135338,0.1791044776119403,0.22727272727272727
2018-10-30_9_,2018-10-30_2_,no,0.5670103092783505,0.5979381443298969,0.22702702702702704,0.20212765957446807
2018-10-30_9_,2018-10-30_3_,no,0.5558441558441558,0.5494791666666666,0.2275132275132275,0.20634920634920634
2018-10-30_9_,2018-10-30_4_,no,0.5319148936170213,0.5077220077220077,0.17063492063492064,0.14919354838709678
