watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-20_7_,2018-10-20_7_,yes,0.7909604519774012,0.8125,0.3615819209039548,0.3806818181818182
2018-10-20_7_,2018-10-20_8_,no,0.5949367088607594,0.577922077922078,0.2236842105263158,0.25333333333333335
2018-10-20_7_,2018-10-22_10,no,0.5239005736137667,0.5123339658444023,0.17307692307692307,0.16205533596837945
2018-10-20_7_,2018-10-22_11,no,0.5314009661835749,0.5529225908372828,0.13513513513513514,0.11864406779661017
2018-10-20_7_,2018-10-22_9_,no,0.5625,0.5626822157434402,0.22093023255813954,0.21470588235294116
2018-10-20_7_,2018-10-27_12,no,0.5502555366269165,0.5544217687074829,0.2033898305084746,0.21428571428571427
2018-10-20_7_,2018-10-27_13,no,0.5535353535353535,0.558282208588957,0.15254237288135594,0.1574468085106383
2018-10-20_7_,2018-10-27_14,no,0.5352941176470588,0.5323529411764706,0.18292682926829268,0.15151515151515152
2018-10-20_7_,2018-10-27_15,no,0.5532994923857868,0.5620253164556962,0.17616580310880828,0.12631578947368421
2018-10-20_7_,2018-10-27_16,no,0.5475792988313857,0.5294117647058824,0.16835016835016836,0.1695501730103806
2018-10-20_7_,2018-10-27_17,no,0.5348399246704332,0.5374280230326296,0.12062256809338522,0.11328125
2018-10-20_7_,2018-10-27_18,no,0.5634095634095634,0.5296610169491526,0.1630901287553648,0.18803418803418803
2018-10-20_7_,2018-10-27_19,no,0.568019093078759,0.5976190476190476,0.13705583756345177,0.16666666666666666
2018-10-20_7_,2018-10-27_20,no,0.5845481049562682,0.5878962536023055,0.12058823529411765,0.13043478260869565
2018-10-20_7_,2018-10-27_21,no,0.5123839009287926,0.5491419656786272,0.15064102564102563,0.14193548387096774
2018-10-20_7_,2018-10-27_22,no,0.6219081272084805,0.6021505376344086,0.127208480565371,0.16433566433566432
2018-10-20_7_,2018-10-27_23,no,0.5546875,0.558648111332008,0.09803921568627451,0.1015625
2018-10-20_7_,2018-10-27_24,no,0.604225352112676,0.5460893854748603,0.16519174041297935,0.15915915915915915
2018-10-20_8_,2018-10-20_7_,no,0.5520231213872833,0.5170454545454546,0.17365269461077845,0.16363636363636364
2018-10-20_8_,2018-10-20_8_,yes,0.5714285714285714,0.7402597402597403,0.41333333333333333,0.547945205479452
2018-10-20_8_,2018-10-22_10,no,0.5615384615384615,0.5789473684210527,0.15384615384615385,0.15789473684210525
2018-10-20_8_,2018-10-22_11,no,0.55,0.5725552050473186,0.19672131147540983,0.2070063694267516
2018-10-20_8_,2018-10-22_9_,no,0.5342066957787481,0.5242290748898678,0.18098159509202455,0.16666666666666666
2018-10-20_8_,2018-10-27_12,no,0.5226890756302521,0.5303030303030303,0.15436241610738255,0.19387755102040816
2018-10-20_8_,2018-10-27_13,no,0.5398773006134969,0.5417515274949084,0.11206896551724138,0.1694915254237288
2018-10-20_8_,2018-10-27_14,no,0.543859649122807,0.5473372781065089,0.18404907975460122,0.1524390243902439
2018-10-20_8_,2018-10-27_15,no,0.5417721518987342,0.5561097256857855,0.12953367875647667,0.16145833333333334
2018-10-20_8_,2018-10-27_16,no,0.565,0.570957095709571,0.13074204946996468,0.1423611111111111
2018-10-20_8_,2018-10-27_17,no,0.5461538461538461,0.558766859344894,0.10756972111553785,0.13026819923371646
2018-10-20_8_,2018-10-27_18,no,0.5479166666666667,0.5567226890756303,0.16071428571428573,0.17796610169491525
2018-10-20_8_,2018-10-27_19,no,0.5298329355608592,0.5510688836104513,0.18407960199004975,0.1796116504854369
2018-10-20_8_,2018-10-27_20,no,0.5563689604685212,0.5445402298850575,0.16374269005847952,0.17417417417417416
2018-10-20_8_,2018-10-27_21,no,0.531055900621118,0.5727554179566563,0.17475728155339806,0.1834862385321101
2018-10-20_8_,2018-10-27_22,no,0.5412186379928315,0.5142857142857142,0.14652014652014653,0.12781954887218044
2018-10-20_8_,2018-10-27_23,no,0.5599214145383105,0.5949119373776908,0.13025210084033614,0.14049586776859505
2018-10-20_8_,2018-10-27_24,no,0.5574468085106383,0.5492154065620543,0.17391304347826086,0.14606741573033707
2018-10-22_10,2018-10-20_7_,no,0.5895953757225434,0.5606936416184971,0.15028901734104047,0.12643678160919541
2018-10-22_10,2018-10-20_8_,no,0.5714285714285714,0.551948051948052,0.3026315789473684,0.22972972972972974
2018-10-22_10,2018-10-22_10,yes,0.5916030534351145,0.6423076923076924,0.26436781609195403,0.35361216730038025
2018-10-22_10,2018-10-22_11,no,0.5964630225080386,0.5605095541401274,0.17049180327868851,0.12933753943217666
2018-10-22_10,2018-10-22_9_,no,0.5843023255813954,0.5330396475770925,0.2073170731707317,0.18787878787878787
2018-10-22_10,2018-10-27_12,no,0.5652173913043478,0.534923339011925,0.2704626334519573,0.24199288256227758
2018-10-22_10,2018-10-27_13,no,0.556237218813906,0.5409836065573771,0.25957446808510637,0.19831223628691982
2018-10-22_10,2018-10-27_14,no,0.5872093023255814,0.6695906432748538,0.15294117647058825,0.13690476190476192
2018-10-22_10,2018-10-27_15,no,0.6116751269035533,0.5392405063291139,0.095,0.1164021164021164
2018-10-22_10,2018-10-27_16,no,0.5317725752508361,0.5693069306930693,0.20068027210884354,0.1840277777777778
2018-10-22_10,2018-10-27_17,no,0.5513307984790875,0.5568400770712909,0.07086614173228346,0.10894941634241245
