timestamp,x_acc,y_acc,z_acc
1540655201139,0.2105684,0.6891329,9.631111
1540655201151,0.23449662,0.6891329,9.611969
1540655201162,0.33020952,0.6436693,9.597611
1540655201174,0.32303107,0.6652047,9.640682
1540655201193,0.26799613,0.61734825,9.705289
1540655201205,0.29910284,0.5982057,9.707682
1540655201221,0.28953153,0.59342,9.674182
1540655201232,0.29671,0.5886344,9.667004
1540655201242,0.29671,0.5982057,9.650253
1540655201253,0.3278167,0.6197411,9.686146
1540655201265,0.30149564,0.5910272,9.678967
1540655201275,0.30149564,0.61734825,9.707682
1540655201295,0.3684947,0.64845496,9.710074
1540655201305,0.38285163,0.66041905,9.702896
1540655201325,0.36370903,0.60059845,9.729217
1540655201334,0.35413775,0.60777694,9.726824
1540655201344,0.31106696,0.6269195,9.717253
1540655201363,0.28953153,0.6412765,9.698111
1540655201373,0.27517462,0.6197411,9.690931
1540655201384,0.2536392,0.6436693,9.669396
1540655201393,0.2536392,0.6436693,9.631111
1540655201404,0.25842485,0.65084773,9.616755
1540655201413,0.2321038,0.64606214,9.600004
1540655201423,0.24646074,0.6652047,9.602397
1540655201443,0.18664017,0.58624154,9.616755
1540655201462,0.19621146,0.5766702,9.533006
1540655201472,0.17467605,0.57188463,9.47797
1540655201483,0.17467605,0.5982057,9.413364
1540655201493,0.17467605,0.57427746,9.408579
1540655201503,0.18664017,0.56470615,9.348758
1540655201522,0.16271193,0.55034924,9.265009
1540655201532,0.16510476,0.5407779,9.190832
1540655201542,0.19860429,0.5312066,9.178867
1540655201552,0.17706887,0.5192425,9.15494
1540655201571,0.15792629,0.4761717,9.066405
1540655201582,0.15074782,0.49052864,9.035298
1540655201592,0.1363909,0.49052864,9.018549
1540655201602,0.083748795,0.43070808,8.941978
1540655201621,0.03589234,0.37567315,8.7577305
1540655201631,0.02871387,0.32303107,8.6548395
1540655201641,-0.019142581,0.25124636,8.5423765
1540655201652,-0.076570325,0.19381863,8.343773
1540655201670,-0.17467605,-0.02871387,7.793423
1540655201681,-0.23449662,-0.19142582,7.381858
1540655201691,-0.2632105,-0.43788654,6.9583282
1540655201708,-0.3182454,-0.9284152,6.276374
1540655201718,-0.36610186,-0.9379865,5.979664
1540655201729,-0.33020952,-0.8566305,5.651847
1540655201739,-0.28713873,-0.8279166,5.2977095
1540655201759,-0.18903299,-0.86859465,4.8454657
1540655201777,-0.5383851,-0.70348984,6.6735826
1540655201787,-0.28953153,-0.77766734,8.425129
1540655201807,-0.3493521,-0.4235296,11.157732
1540655201827,-0.69152576,-0.50009996,10.286744
1540655201841,-4.197011,-0.32542387,10.013963
1540655201857,-3.3714871,3.4025939,20.097317
1540655201869,-1.8376877,0.31585258,21.451654
1540655201879,-1.3950156,-0.9667004,20.621346
1540655201889,-0.22731815,0.050249275,19.554146
1540655201899,0.6963114,-0.14596218,17.541782
1540655201918,1.0456635,-0.6795616,12.97867
1540655201929,1.1653047,-0.6029913,11.093125
1540655201939,1.0815558,-0.21296121,9.810573
1540655201958,0.66759753,0.6149554,8.671589
1540655201967,0.38524446,0.6652047,8.537591
1540655201978,0.014356935,0.5623133,8.669196
