timestamp,x,y,x_velocity,y_velocity
1540221548150,0.026922414,0.03747463,281.6794,120.397255
1540221548166,0.027124036,0.037554722,216.87766,58.988167
1540221548181,0.027233832,0.037554722,113.13037,-29.02304
1540221548231,0.02704254,0.037554722,-166.01393,-51.958027
1540221548247,0.026881473,0.037655182,-218.19397,16.572927
1540221548262,0.026741808,0.037774846,-203.26996,120.06533
1540221548281,0.026621573,0.037994705,-122.8249,220.96274
1540221548295,0.026541702,0.038193714,-93.224205,256.34683
1540221548312,0.026541702,0.038313914,-31.56996,220.77736
1540221548329,0.026541702,0.038433254,32.068657,151.00552
1540221548345,0.026541702,0.03855346,53.046406,94.13773
1540221548362,0.026541702,0.03867296,46.214153,68.34569
1540221548378,0.026541702,0.03872269,26.72918,85.252525
1540221548430,0.026944092,0.038652524,515.8483,-159.80608
1540221548447,0.027748514,0.038251787,953.5077,-557.61884
1540221548463,0.029407911,0.03727029,1756.4509,-1082.7964
1540221548480,0.031579267,0.035836037,2458.627,-1612.1527
1540221548496,0.033854384,0.034147345,2661.19,-1928.6077
1540221548512,0.03602498,0.032865826,2746.566,-1951.8716
1540221548529,0.038150955,0.031907413,2472.0452,-1519.9631
1540221548545,0.039800048,0.03128651,1941.7279,-833.2463
1540221548563,0.041138828,0.030947765,1401.6423,-233.52617
1540221548578,0.04226645,0.030906277,935.1648,165.61458
1540221548596,0.042990595,0.031045336,574.58026,343.61685
1540221548612,0.043392163,0.031423498,220.94196,532.5508
1540221548630,0.04361348,0.032039657,3.5605776,693.10675
1540221548646,0.043336034,0.03337583,-301.20703,1050.669
1540221548663,0.041898232,0.035685003,-957.8429,1817.6318
1540221548680,0.039504923,0.03894219,-1996.8617,2900.9958
1540221548696,0.0364582,0.043380953,-3178.1167,4169.1426
1540221548712,0.033085402,0.049645353,-4007.1838,5748.5103
1540221548728,0.030191662,0.057489887,-3912.169,7491.3623
1540221548746,0.027953548,0.06585178,-3104.8916,8923.562
1540221548763,0.026129564,0.0734183,-2032.2971,9254.922
1540221548779,0.024966313,0.07901653,-1078.085,7731.1704
1540221548795,0.024537,0.08196356,-271.1758,4589.939
1540221548812,0.024495402,0.083210774,334.35098,1148.3319
