timestamp,x_acc,y_acc,z_acc
1540655269098,-0.7537391,0.44985065,9.635897
1540655269109,-0.74895346,0.40917268,9.518648
1540655269121,-0.701097,0.38524446,9.506684
1540655269138,-0.6652047,0.41156548,9.578469
1540655269148,-0.63170516,0.40438703,9.564112
1540655269158,-0.59581286,0.4235296,9.614362
1540655269170,-0.59342,0.42592242,9.60479
1540655269190,-0.63170516,0.40917268,9.5760765
1540655269202,-0.634098,0.37088752,9.619147
1540655269212,-0.67477596,0.40438703,9.62154
1540655269222,-0.6939186,0.40917268,9.652647
1540655269232,-0.7322037,0.41156548,9.674182
1540655269242,-0.74416786,0.4211368,9.705289
1540655269252,-0.75613195,0.41156548,9.700503
1540655269263,-0.782453,0.3924229,9.695718
1540655269273,-0.7752745,0.3684947,9.693324
1540655269283,-0.7728817,0.35174492,9.698111
1540655269301,-0.7920243,0.40677986,9.741181
1540655269312,-0.8111669,0.42592242,9.767502
1540655269322,-0.8422736,0.4139583,9.784252
1540655269332,-0.83030945,0.39481574,9.765109
1540655269342,-0.81834537,0.4211368,9.757931
1540655269352,-0.78723866,0.46899325,9.734002
1540655269371,-0.81834537,0.54317075,9.7196455
1540655269381,-0.8757731,0.5838487,9.600004
1540655269391,-0.83988076,0.57427746,9.523434
1540655269411,-0.7752745,0.41874397,9.533006
1540655269421,-0.82313097,0.38763726,9.533006
1540655269431,-0.80877405,0.33260235,9.499506
1540655269451,-0.6867401,0.20817557,9.403793
1540655269461,-0.66999036,0.16031912,9.348758
1540655269480,-0.6723832,0.07178468,9.18126
1540655269490,-0.6149554,0.08853444,9.114262
1540655269510,-0.5766702,0.19142582,9.119047
1540655269520,-0.57906306,0.19860429,9.059227
1540655269531,-0.50488555,0.18424734,9.097511
1540655269548,-0.5455636,0.15314065,9.102298
1540655269560,-0.5838487,0.148355,9.099904
1540655269571,-0.58624154,0.11485548,9.150154
1540655269589,-0.67477596,0.124426775,9.221938
1540655269608,-0.715454,0.25842485,9.382257
1540655269618,-0.7585248,0.38763726,9.470792
1540655269628,-0.7848458,0.4642076,9.573684
1540655269638,-0.83748794,0.46899325,9.652647
1540655269657,-0.99302137,0.49292147,9.669396
1540655269667,-0.99302137,0.5455636,9.611969
1540655269687,-1.0552348,0.41156548,9.640682
1540655269707,-1.0959128,0.29910284,9.769895
1540655269726,-1.1318051,0.30149564,9.8632145
1540655269744,-1.1318051,0.35653058,9.786645
1540655269754,-1.1389836,0.37088752,9.712467
1540655269766,-1.1126626,0.38763726,9.707682
1540655269787,-1.1533405,0.30867413,9.68136
1540655269806,-1.1700903,0.1268196,9.853643
1540655269816,-1.2083755,0.023928227,9.990034
1540655269826,-1.2849457,-0.023928227,10.04507
