timestamp,x_acc,y_acc,z_acc
1540655279670,-0.16510476,0.46899325,9.789038
1540655279685,-0.15074782,0.50009996,9.743574
1540655279704,-0.15553348,0.5599205,9.693324
1540655279724,-0.09810573,0.60777694,9.602397
1540655279743,-0.08853444,0.5982057,9.580862
1540655279754,-0.06460621,0.5910272,9.580862
1540655279775,-0.047856454,0.5814559,9.533006
1540655279793,-0.031106694,0.5910272,9.564112
1540655279803,-0.03589234,0.5910272,9.585648
1540655279814,-0.050249275,0.5694918,9.600004
1540655279824,-0.0526421,0.567099,9.571291
1540655279844,-0.11485548,0.5479564,9.571291
1540655279854,-0.14356937,0.53359944,9.580862
1540655279871,-0.14356937,0.5383851,9.595219
1540655279883,-0.15074782,0.5407779,9.568898
1540655279893,-0.148355,0.5072784,9.571291
1540655279903,-0.15792629,0.50009996,9.573684
1540655279923,-0.14356937,0.50009996,9.6071825
1540655279933,-0.13399807,0.4833502,9.611969
1540655279943,-0.15792629,0.51445687,9.592826
1540655279963,-0.13878371,0.526421,9.564112
1540655279982,-0.2416751,0.4977071,9.573684
1540655279992,-0.2847459,0.4881358,9.518648
1540655280012,-0.2440679,0.4211368,9.525827
1540655280025,-0.21535404,0.41156548,9.573684
1540655280039,-0.20338993,0.42592242,9.626326
1540655280052,-0.22492532,0.47377887,9.640682
1540655280069,-0.24885355,0.41156548,9.686146
1540655280083,-0.29910284,0.36131623,9.619147
1540655280102,-0.20578274,0.33738798,9.521041
1540655280112,-0.1698904,0.38763726,9.470792
1540655280122,-0.18424734,0.39960137,9.4636135
1540655280132,-0.14596218,0.36610186,9.456435
1540655280151,-0.17467605,0.2943172,9.360723
1540655280163,-0.17706887,0.23449662,9.267402
1540655280181,-0.16510476,0.09571291,8.944371
1540655280201,-0.18903299,-0.076570325,8.592627
1540655280211,-0.24646074,-0.24885355,8.427522
1540655280221,-0.26799613,-0.35653058,8.271988
1540655280241,-0.31585258,-0.4761717,8.001599
1540655280251,-0.32542387,-0.57906306,7.8580294
1540655280261,-0.3469593,-0.6556334,7.726424
1540655280271,-0.32063824,-0.6939186,7.5613194
1540655280289,-0.26799613,-0.77766734,7.312466
1540655280300,-0.23928227,-0.8063812,7.21436
1540655280310,-0.2009971,-0.72023964,7.1712894
1540655280329,-0.22971097,-0.634098,6.9559355
1540655280346,-0.37567315,-0.78723866,6.8745794
1540655280356,-0.3924229,-0.89491564,6.9894347
1540655280366,-0.33499518,-1.0241281,7.2215385
1540655280377,-0.28953153,-1.2059826,7.5756764
1540655280397,-0.44745782,-1.3998013,8.281559
1540655280407,-0.43788654,-1.253839,9.145369
1540655280418,-0.4235296,-0.93559366,10.356136
1540655280437,-0.47138608,-0.10049855,12.303894
1540655280447,-0.5288138,-0.37806597,12.244074
1540655280465,-0.6652047,-0.8255238,10.516456
1540655280477,-0.5312066,0.24885355,6.903293
1540655280495,-3.5724843,2.0937197,14.455042
1540655280507,-2.2420747,2.7110682,17.783459
1540655280526,-0.7968099,0.23928227,17.168503
1540655280536,-0.54317075,0.15074782,15.981663
1540655280546,-0.21535404,-0.39960137,14.426328
1540655280556,-0.1052842,-0.5072784,12.969099
1540655280566,-0.011964113,-0.40438703,11.770294
1540655280576,-0.023928227,-0.42831525,10.770095
1540655280586,-0.11006984,-0.37328035,10.001999
1540655280605,-0.27756742,0.23688944,9.186047
1540655280616,-0.33499518,0.5168497,9.020942
1540655280628,-0.44506502,0.54317075,8.9826565
1540655280642,-0.64845496,0.2656033,9.02812
1540655280653,-0.74895346,0.11724831,9.097511
1540655280664,-0.8350951,0.06699903,9.250652
1540655280685,-1.0169497,-0.2416751,9.382257
1540655280705,-1.1270195,-0.60777694,9.434899
1540655280725,-1.1174482,-0.9954142,9.293723
1540655280744,-1.1892328,-1.7467605,9.186047
1540655280755,-1.2777673,-2.0578275,9.135797
1540655280773,-1.4213367,-2.4215364,9.119047
1540655280783,-1.550549,-2.361716,9.224331
1540655280801,-1.6390835,-1.8711873,9.343972
1540655280823,-1.4189439,-1.0217353,9.427721
1540655280843,-1.012164,-0.06699903,9.659825
1540655280862,-0.42831525,0.8470592,10.0163555
1540655280872,-0.1268196,1.5816557,10.234102
1540655280883,0.31106696,2.7302105,10.260424
1540655280902,1.3710874,5.788238,9.779466
1540655280919,2.3569303,6.680761,9.4636135
1540655280929,2.6488547,6.5204415,9.437292
1540655280939,2.7900312,5.615955,9.71486
1540655280965,2.969493,2.7110682,12.205789
1540655280982,2.57707,0.7537391,12.0023985
1540655280999,0.53359944,-0.06460621,12.2584305
1540655281009,-0.8255238,-0.782453,12.557533
1540655281031,-3.4600215,-3.5988052,11.882757
