timestamp,x_acc,y_acc,z_acc
1540222244886,-0.059820566,0.7298109,9.702896
1540222244896,-0.062213387,0.72502524,9.698111
1540222244910,-0.07178468,0.7585248,9.693324
1540222244929,-0.06460621,0.7704889,9.662218
1540222244945,-0.050249275,0.7082755,9.695718
1540222244958,-0.0526421,0.7465607,9.724431
1540222244969,-0.047856454,0.782453,9.7196455
1540222244989,-0.038285162,0.7178468,9.686146
1540222245009,-0.062213387,0.72023964,9.664611
1540222245030,-0.05503492,0.74177504,9.643075
1540222245047,-0.033499517,0.72502524,9.676575
1540222245060,-0.02871387,0.72741807,9.686146
1540222245070,-0.014356935,0.7322037,9.683753
1540222245080,-0.0071784677,0.73459655,9.690931
1540222245096,-0.019142581,0.7106683,9.669396
1540222245108,-0.009571291,0.7082755,9.657433
1540222245120,-0.019142581,0.7082755,9.645468
1540222245130,-0.038285162,0.715454,9.647861
1540222245140,-0.038285162,0.72023964,9.633504
1540222245159,-0.021535404,0.7106683,9.595219
1540222245169,-0.021535404,0.69152576,9.552148
1540222245179,-0.02871387,0.67477596,9.492328
1540222245199,-0.06699903,0.6628119,9.288938
1540222245217,-0.076570325,0.49292147,9.006584
1540222245227,-0.08135597,0.40677986,8.815159
1540222245238,-0.076570325,0.34217364,8.606983
1540222245257,-0.06699903,0.13160525,8.099705
1540222245268,-0.069391854,0.047856454,7.7790666
1540222245278,-0.069391854,0.076570325,7.489535
1540222245288,-0.02871387,0.15074782,7.21436
1540222245308,0.16271193,0.21535404,6.786045
1540222245327,0.3278167,0.124426775,6.573084
1540222245347,0.26799613,0.4211368,6.869794
1540222245357,0.19860429,0.46660042,7.1808605
1540222245367,0.062213387,0.39960137,7.530213
1540222245377,-0.09332009,0.34217364,7.8317084
1540222245397,-0.40438703,0.4642076,8.310273
1540222245407,-0.5886344,0.53359944,8.549556
1540222245427,-0.89013004,0.5623133,9.147761
1540222245446,-1.1389836,0.5982057,9.934999
1540222245457,-1.2897314,0.6891329,10.411171
1540222245474,-1.5146568,0.4354937,11.763116
1540222245484,-1.6486548,0.3062813,12.449856
1540222245504,-1.7802601,-0.02632105,12.947563
1540222245514,-2.0386848,-0.15314065,12.476177
1540222245525,-2.2947168,-0.04546363,11.236695
1540222245546,-6.515656,3.290131,9.982856
1540222245557,-6.3888364,5.465207,14.507684
1540222245566,-3.0556345,3.9361932,18.281164
1540222245576,-2.210968,0.15792629,17.685352
1540222245595,-2.5555346,-0.1794617,14.017155
1540222245605,-1.5696917,0.8255238,12.425928
1540222245615,-1.0839486,0.7393822,10.796415
1540222245635,-1.3304094,-0.09571291,7.793423
1540222245655,-1.3878372,0.79441714,6.8482585
1540222245676,-1.7563318,1.0456635,7.908279
1540222245696,-2.0697916,1.0504491,9.0233345
1540222245706,-2.0841484,1.2969099,9.516255
1540222245725,-2.0171494,1.2394822,10.112068
1540222245735,-2.0147567,0.93559366,10.13839
1540222245745,-1.98365,0.6963114,10.018748
1540222245756,-1.9214365,0.5910272,9.891929
1540222245766,-1.8520447,0.5623133,9.736395
1540222245776,-1.7946169,0.4833502,9.578469
1540222245793,-1.7467605,0.4953143,9.408579
1540222245806,-1.6701902,0.5886344,9.442079
1540222245822,-1.5553347,0.65084773,9.564112
1540222245832,-1.538585,0.76331043,9.628718
1540222245851,-1.3567305,1.0432707,9.760324
1540222245861,-1.3040884,1.1102697,9.7196455
1540222245872,-1.2107682,1.0983056,9.662218
1540222245883,-1.1030912,1.026521,9.643075
1540222245894,-1.0073783,0.9164511,9.652647
1540222245906,-0.89730847,0.91884387,9.635897
1540222245923,-0.70588267,1.0600204,9.647861
1540222245934,-0.64845496,0.99302137,9.664611
1540222245945,-0.60777694,0.86141616,9.734002
1540222245955,-0.58624154,0.7728817,9.777073
1540222245975,-0.64606214,0.40917268,9.853643
1540222245994,-0.7848458,0.07178468,9.738789
1540222246005,-0.85184485,-0.19381863,9.65504
1540222246023,-1.0887343,-0.6723832,9.592826
1540222246033,-1.2203395,-0.6053841,9.559326
1540222246044,-1.3830515,-0.55513483,9.533006
1540222246055,-1.5409778,-0.7369894,9.501899
1540222246071,-1.9214365,-0.9451649,9.597611
1540222246081,-2.1224337,-0.94277215,9.638289
1540222246091,-2.3138595,-0.8925229,9.712467
1540222246114,-2.8402805,-0.6987042,9.745967
1540222246134,-3.2733815,-0.39481574,9.803394
1540222246154,-3.6203406,0.12203395,9.877572
1540222246163,-3.656233,0.39960137,9.80818
1540222246173,-3.67059,0.69152576,9.717253
1540222246184,-3.6370904,0.9403793,9.578469
1540222246203,-3.4169507,1.0911272,9.260223
