timestamp,x_acc,y_acc,z_acc
1540655235485,-0.25124636,0.72741807,9.552148
1540655235495,-0.25603202,0.70348984,9.578469
1540655235513,-0.22492532,0.5910272,9.674182
1540655235532,-0.16031912,0.63170516,9.659825
1540655235543,-0.1268196,0.67477596,9.645468
1540655235561,-0.16510476,0.7680961,9.5353985
1540655235574,-0.17706887,0.7848458,9.516255
1540655235586,-0.17467605,0.8327023,9.573684
1540655235602,-0.2416751,0.8470592,9.65504
1540655235615,-0.2632105,0.7896315,9.702896
1540655235635,-0.31345975,0.6125626,9.731609
1540655235645,-0.32542387,0.5623133,9.717253
1540655235665,-0.3924229,0.54317075,9.686146
1540655235675,-0.37567315,0.5479564,9.686146
1540655235685,-0.37567315,0.58624154,9.662218
1540655235704,-0.3589234,0.7082755,9.62154
1540655235714,-0.35174492,0.7178468,9.638289
1540655235724,-0.35653058,0.715454,9.688539
1540655235744,-0.35174492,0.65324056,9.765109
1540655235754,-0.33260235,0.6221339,9.74836
1540655235774,-0.33260235,0.7082755,9.678967
1540655235783,-0.32542387,0.78723866,9.628718
1540655235803,-0.27756742,0.86141616,9.623933
1540655235813,-0.30388847,0.8877372,9.62154
1540655235823,-0.2656033,0.8757731,9.614362
1540655235843,-0.26799613,0.715454,9.678967
1540655235855,-0.2943172,0.70588267,9.664611
1540655235873,-0.27038896,0.72741807,9.614362
1540655235882,-0.25603202,0.74177504,9.6071825
1540655235892,-0.2440679,0.7728817,9.559326
1540655235902,-0.2536392,0.7609176,9.542577
1540655235912,-0.23688944,0.73459655,9.554541
1540655235922,-0.21774685,0.70588267,9.597611
1540655235942,-0.23449662,0.5982057,9.659825
1540655235958,-0.28953153,0.49052864,9.652647
1540655235969,-0.30867413,0.51206404,9.640682
1540655235989,-0.28235307,0.5168497,9.686146
1540655236008,-0.32063824,0.5455636,9.712467
1540655236018,-0.31585258,0.5694918,9.71486
1540655236028,-0.3469593,0.6221339,9.669396
1540655236038,-0.34217364,0.6771688,9.662218
1540655236048,-0.3589234,0.66041905,9.635897
1540655236059,-0.37088752,0.634098,9.600004
1540655236077,-0.43788654,0.6963114,9.485149
1540655236088,-0.40438703,0.69152576,9.446864
1540655236098,-0.37567315,0.6891329,9.449257
1540655236118,-0.4833502,0.6987042,9.410972
1540655236127,-0.50009996,0.6843473,9.312865
1540655236137,-0.50009996,0.66759753,9.23151
1540655236147,-0.5192425,0.65084773,9.116654
1540655236157,-0.5407779,0.5814559,8.985049
1540655236177,-0.57906306,0.45702913,8.6548395
1540655236199,-0.5694918,0.37088752,8.157132
1540655236216,-0.59581286,0.20338993,7.432107
1540655236226,-0.6269195,0.11485548,7.0061846
1540655236236,-0.61016977,0.11246266,6.4558353
1540655236246,-0.57188463,0.10767702,5.8337016
1540655236265,-0.33499518,-0.30388847,5.359923
1540655236277,-0.40677986,-0.36610186,5.45085
1540655236295,-0.16749759,0.2009971,6.735796
1540655236305,-0.17228323,0.3278167,7.704889
1540655236315,-0.67477596,0.019142581,8.420342
1540655236325,-0.88295156,-0.8063812,8.71466
1540655236335,-1.1509477,-1.4356936,8.559127
1540655236345,-2.8259234,-1.2873386,9.430114
1540655236365,-3.3930225,2.7302105,15.816558
1540655236374,-3.4313076,1.8640088,18.001205
1540655236386,-2.4598217,1.6295122,19.618753
1540655236407,-1.0360922,-0.42831525,16.931614
1540655236425,0.18424734,-0.50009996,12.866207
1540655236435,0.4331009,-0.39960137,11.306087
1540655236445,0.4019942,-0.13878371,10.258031
1540655236455,0.24885355,0.1268196,9.597611
1540655236465,0.0071784677,0.3493521,9.286545
1540655236475,-0.20578274,0.44745782,9.229117
1540655236494,-0.64845496,0.57427746,9.233903
1540655236504,-0.8757731,0.5766702,9.413364
1540655236514,-1.0695918,0.4642076,9.549755
1540655236524,-1.2179468,0.30149564,9.602397
1540655236534,-1.3519448,0.2440679,9.592826
1540655236545,-1.4117653,0.21535404,9.614362
1540655236562,-1.3806586,0.043070808,9.669396
1540655236573,-1.416551,0.016749758,9.645468
1540655236584,-1.4548361,-0.09571291,9.659825
1540655236602,-1.7778672,-0.45942193,9.470792
1540655236614,-1.8831514,-0.60059845,9.499506
1540655236624,-2.2444677,-0.77766734,9.667004
1540655236644,-2.9216363,-1.0935199,9.946963
1540655236667,-3.2853456,-1.457229,10.262816
1540655236683,-3.438486,-2.0458634,9.889536
1540655236694,-3.1728828,-2.0458634,9.559326
1540655236714,-2.4861426,-0.94755775,8.707481
1540655236723,-1.7778672,-0.4019942,8.226524
1540655236743,-0.567099,0.485743,7.8963146
1540655236762,0.8542377,1.6007984,8.650054
1540655236781,1.5696917,2.7445676,9.8632145
1540655236792,1.6390835,3.0005996,10.552348
1540655236810,1.6079768,2.9336007,11.674582
1540655236819,1.4811572,2.3928227,11.815758
1540655236829,1.1676974,1.6151553,11.626725
