watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_11,2018-10-30_11,yes,0.5508684863523573,0.5835411471321695,0.28717948717948716,0.3298429319371728
2018-10-30_11,2018-10-30_12,no,0.545,0.5946843853820598,0.23529411764705882,0.23026315789473684
2018-10-30_11,2018-10-30_13,no,0.603202846975089,0.5638297872340425,0.21428571428571427,0.23826714801444043
2018-10-30_11,2018-10-30_14,no,0.5373134328358209,0.5845771144278606,0.15920398009950248,0.17412935323383086
2018-10-30_11,2018-10-30_15,no,0.5453597497393118,0.5983350676378772,0.208955223880597,0.2167381974248927
2018-10-30_11,2018-10-30_16,no,0.5290806754221389,0.50853889943074,0.21568627450980393,0.14112903225806453
2018-10-30_11,2018-10-30_17,no,0.5631067961165048,0.5452793834296724,0.13821138211382114,0.1583011583011583
2018-10-30_11,2018-10-30_18,no,0.5519125683060109,0.581056466302368,0.21933085501858737,0.18796992481203006
2018-10-30_11,2018-10-30_19,no,0.5796178343949044,0.5493630573248408,0.2185430463576159,0.21070234113712374
2018-10-30_11,2018-10-30_20,no,0.508130081300813,0.6356275303643725,0.19327731092436976,0.18333333333333332
2018-10-30_12,2018-10-30_11,no,0.5728395061728395,0.5456790123456791,0.15841584158415842,0.18421052631578946
2018-10-30_12,2018-10-30_12,yes,0.5668896321070234,0.5833333333333334,0.2733333333333333,0.32666666666666666
2018-10-30_12,2018-10-30_13,no,0.5686619718309859,0.5926573426573427,0.1909722222222222,0.22105263157894736
2018-10-30_12,2018-10-30_14,no,0.5456852791878173,0.5151515151515151,0.18085106382978725,0.19072164948453607
2018-10-30_12,2018-10-30_15,no,0.5427083333333333,0.5361875637104995,0.183585313174946,0.17543859649122806
2018-10-30_12,2018-10-30_16,no,0.5353728489483748,0.5507518796992481,0.2178988326848249,0.18548387096774194
2018-10-30_12,2018-10-30_17,no,0.562015503875969,0.5445736434108527,0.203125,0.19921875
2018-10-30_12,2018-10-30_18,no,0.5695970695970696,0.5768535262206148,0.21755725190839695,0.2054263565891473
2018-10-30_12,2018-10-30_19,no,0.5555555555555556,0.5492957746478874,0.23648648648648649,0.19218241042345277
2018-10-30_12,2018-10-30_20,no,0.5403225806451613,0.5967078189300411,0.17647058823529413,0.19166666666666668
2018-10-30_13,2018-10-30_11,no,0.5588235294117647,0.5325,0.193717277486911,0.1518324607329843
2018-10-30_13,2018-10-30_12,no,0.5346534653465347,0.5181518151815182,0.18729096989966554,0.20462046204620463
2018-10-30_13,2018-10-30_13,yes,0.625,0.6368421052631579,0.2147887323943662,0.2596491228070175
2018-10-30_13,2018-10-30_14,no,0.5939086294416244,0.5452261306532663,0.18181818181818182,0.18461538461538463
2018-10-30_13,2018-10-30_15,no,0.5176715176715176,0.5208768267223383,0.21271929824561403,0.21318681318681318
2018-10-30_13,2018-10-30_16,no,0.5275142314990512,0.5464895635673624,0.19318181818181818,0.1590909090909091
2018-10-30_13,2018-10-30_17,no,0.5087719298245614,0.5513307984790875,0.1721311475409836,0.18250950570342206
2018-10-30_13,2018-10-30_18,no,0.5307971014492754,0.526508226691042,0.2480916030534351,0.22692307692307692
2018-10-30_13,2018-10-30_19,no,0.5198098256735341,0.5275590551181102,0.2,0.20462046204620463
2018-10-30_13,2018-10-30_20,no,0.5141700404858299,0.51440329218107,0.12931034482758622,0.10434782608695652
2018-10-30_14,2018-10-30_11,no,0.54,0.615,0.16748768472906403,0.26262626262626265
2018-10-30_14,2018-10-30_12,no,0.56,0.5358931552587646,0.14093959731543623,0.1643835616438356
2018-10-30_14,2018-10-30_13,no,0.5287958115183246,0.562390158172232,0.1453900709219858,0.1444043321299639
2018-10-30_14,2018-10-30_14,yes,0.5685279187817259,0.5188916876574308,0.16062176165803108,0.17435897435897435
2018-10-30_14,2018-10-30_15,no,0.5478170478170478,0.5145833333333333,0.23390557939914164,0.20985010706638116
