watch_sample,phone_sample,class,acc_similarity_2b,vel_similarity_2b,acc_similarity_3b,vel_similarity_3b
2018-10-30_11,2018-10-30_11,yes,0.5652173913043478,0.6563307493540051,0.43478260869565216,0.42934782608695654
2018-10-30_11,2018-10-30_12,no,0.5675675675675675,0.6385135135135135,0.18050541516245489,0.21885521885521886
2018-10-30_11,2018-10-30_13,no,0.5948905109489051,0.5467625899280576,0.2426470588235294,0.21722846441947566
2018-10-30_11,2018-10-30_14,no,0.6217616580310881,0.6119791666666666,0.15463917525773196,0.18333333333333332
2018-10-30_11,2018-10-30_15,no,0.5561440677966102,0.5851851851851851,0.2412280701754386,0.19747899159663865
2018-10-30_11,2018-10-30_16,no,0.5404339250493096,0.4970873786407767,0.18775510204081633,0.19183673469387755
2018-10-30_11,2018-10-30_17,no,0.5418326693227091,0.5513833992094862,0.13654618473895583,0.15637860082304528
2018-10-30_11,2018-10-30_18,no,0.5370018975332068,0.5510204081632653,0.1760299625468165,0.14457831325301204
2018-10-30_11,2018-10-30_19,no,0.5655737704918032,0.6029411764705882,0.22895622895622897,0.21621621621621623
2018-10-30_11,2018-10-30_20,no,0.6043478260869565,0.625,0.14035087719298245,0.16666666666666666
2018-10-30_12,2018-10-30_11,no,0.5503875968992248,0.6398963730569949,0.17553191489361702,0.16393442622950818
2018-10-30_12,2018-10-30_12,yes,0.5807560137457045,0.6305841924398625,0.2671232876712329,0.30405405405405406
2018-10-30_12,2018-10-30_13,no,0.6035714285714285,0.6035714285714285,0.23655913978494625,0.22878228782287824
2018-10-30_12,2018-10-30_14,no,0.5449871465295629,0.5605263157894737,0.19889502762430938,0.19473684210526315
2018-10-30_12,2018-10-30_15,no,0.5550847457627118,0.5503634475597092,0.22246696035242292,0.22608695652173913
2018-10-30_12,2018-10-30_16,no,0.5544747081712063,0.5294117647058824,0.20883534136546184,0.1686746987951807
2018-10-30_12,2018-10-30_17,no,0.564,0.5896414342629482,0.23673469387755103,0.22580645161290322
2018-10-30_12,2018-10-30_18,no,0.5760456273764258,0.5700934579439252,0.22134387351778656,0.224
2018-10-30_12,2018-10-30_19,no,0.5496794871794872,0.5584,0.23920265780730898,0.2040133779264214
2018-10-30_12,2018-10-30_20,no,0.5219298245614035,0.6060606060606061,0.12173913043478261,0.22807017543859648
2018-10-30_13,2018-10-30_11,no,0.5750636132315522,0.5803108808290155,0.17486338797814208,0.16393442622950818
2018-10-30_13,2018-10-30_12,no,0.5317324185248714,0.5378006872852233,0.20422535211267606,0.21875
2018-10-30_13,2018-10-30_13,yes,0.6949458483754513,0.6971326164874552,0.3115942028985507,0.296028880866426
2018-10-30_13,2018-10-30_14,no,0.5414507772020726,0.5564102564102564,0.13186813186813187,0.18032786885245902
2018-10-30_13,2018-10-30_15,no,0.5352697095435685,0.5158898305084746,0.20086393088552915,0.18666666666666668
2018-10-30_13,2018-10-30_16,no,0.5577299412915852,0.5443786982248521,0.15873015873015872,0.16733067729083664
2018-10-30_13,2018-10-30_17,no,0.6383399209486166,0.5956175298804781,0.24603174603174602,0.19047619047619047
2018-10-30_13,2018-10-30_18,no,0.5311909262759924,0.5141242937853108,0.2976190476190476,0.23694779116465864
2018-10-30_13,2018-10-30_19,no,0.537842190016103,0.5463414634146342,0.20065789473684212,0.20066889632107024
2018-10-30_13,2018-10-30_20,no,0.5258620689655172,0.5150214592274678,0.15315315315315314,0.12962962962962962
2018-10-30_14,2018-10-30_11,no,0.5721649484536082,0.6082474226804123,0.19387755102040816,0.28205128205128205
2018-10-30_14,2018-10-30_12,no,0.5567010309278351,0.5547945205479452,0.16906474820143885,0.18478260869565216
2018-10-30_14,2018-10-30_13,no,0.5346715328467153,0.5456204379562044,0.13138686131386862,0.10830324909747292
2018-10-30_14,2018-10-30_14,yes,0.5549738219895288,0.5651041666666666,0.18947368421052632,0.16939890710382513
2018-10-30_14,2018-10-30_15,no,0.5447916666666667,0.5446058091286307,0.16741071428571427,0.18478260869565216
2018-10-30_14,2018-10-30_16,no,0.5354330708661418,0.5305719921104537,0.20901639344262296,0.17073170731707318
2018-10-30_14,2018-10-30_17,no,0.533066132264529,0.5864811133200796,0.22633744855967078,0.2375
2018-10-30_14,2018-10-30_18,no,0.6121673003802282,0.5580524344569289,0.3816793893129771,0.2777777777777778
2018-10-30_14,2018-10-30_19,no,0.5852459016393443,0.6065573770491803,0.23208191126279865,0.24315068493150685
2018-10-30_14,2018-10-30_20,no,0.5043859649122807,0.5240174672489083,0.0625,0.13157894736842105
2018-10-30_15,2018-10-30_11,no,0.5414507772020726,0.5283505154639175,0.16230366492146597,0.15625
2018-10-30_15,2018-10-30_12,no,0.5570469798657718,0.5585738539898133,0.1956521739130435,0.1945392491467577
2018-10-30_15,2018-10-30_13,no,0.5563636363636364,0.5565529622980251,0.1223021582733813,0.17518248175182483
2018-10-30_15,2018-10-30_14,no,0.5354330708661418,0.5105263157894737,0.19021739130434784,0.16939890710382513
2018-10-30_15,2018-10-30_15,yes,0.5396825396825397,0.5805084745762712,0.1925601750547046,0.21568627450980393
2018-10-30_15,2018-10-30_16,no,0.5805825242718446,0.5728346456692913,0.15510204081632653,0.18218623481781376
2018-10-30_15,2018-10-30_17,no,0.5436507936507936,0.564453125,0.20987654320987653,0.18473895582329317
2018-10-30_15,2018-10-30_18,no,0.5228136882129277,0.6082089552238806,0.2681992337164751,0.27450980392156865
2018-10-30_15,2018-10-30_19,no,0.576,0.5335515548281505,0.22635135135135134,0.25
2018-10-30_15,2018-10-30_20,no,0.6008771929824561,0.5965665236051502,0.14782608695652175,0.1724137931034483
2018-10-30_16,2018-10-30_11,no,0.5569948186528497,0.5871794871794872,0.20418848167539266,0.1641025641025641
2018-10-30_16,2018-10-30_12,no,0.5342465753424658,0.5677530017152659,0.20477815699658702,0.2210144927536232
2018-10-30_16,2018-10-30_13,no,0.5045045045045045,0.5497287522603979,0.19924812030075187,0.21348314606741572
2018-10-30_16,2018-10-30_14,no,0.5818181818181818,0.5289473684210526,0.19576719576719576,0.17525773195876287
2018-10-30_16,2018-10-30_15,no,0.5174603174603175,0.5280423280423281,0.1829787234042553,0.20734341252699784
2018-10-30_16,2018-10-30_16,yes,0.6153846153846154,0.6019607843137255,0.328125,0.24803149606299213
2018-10-30_16,2018-10-30_17,no,0.5591182364729459,0.5395256916996047,0.14859437751004015,0.1729957805907173
