timestamp,x,y,x_velocity,y_velocity
1540928499849,0.009418994,0.078194074,88.624855,156.59192
1540928499901,0.009242878,0.07816413,-144.01634,-0.6710626
1540928499916,0.00912092,0.07816413,-117.9025,-0.08117547
1540928499933,0.008998893,0.07816413,-115.28648,0.020254944
1540928499949,0.00887997,0.078191444,-112.63007,12.980292
1540928499967,0.00875626,0.07828392,-114.02699,75.12484
1540928499982,0.00863649,0.07837386,-113.66363,98.409386
1540928499999,0.008514562,0.0784353,-113.59723,108.25631
1540928500017,0.008395844,0.07846361,-112.875435,81.50135
1540928500034,0.00835228,0.07853691,-80.071236,47.62417
1540928500100,0.008305566,0.0785235,0.0,0.0
1540928500167,0.008305566,0.0785834,0.0,0.0
1540928500183,0.0082453815,0.07861059,12.182158,120.165504
1540928500200,0.0082453815,0.07867324,23.573229,139.83408
1540928500217,0.008185196,0.07864329,-30.899582,0.082018964
1540928500299,0.008125011,0.07864329,0.0,0.0
1540928500615,0.008125011,0.07849752,0.007850915,-108.057144
1540928500633,0.008037633,0.07824135,-141.77652,-299.83972
1540928500649,0.00787686,0.076480575,-194.91164,-1945.8632
1540928500666,0.0076995036,0.07395736,-216.79205,-2962.603
1540928500681,0.007466227,0.07083255,-251.50247,-3639.03
1540928500698,0.0071640373,0.067230925,-301.547,-4114.2393
1540928500715,0.00673597,0.06332465,-367.39532,-4341.4517
1540928500732,0.006205465,0.059578855,-478.1991,-4097.86
1540928500748,0.0055681625,0.05538001,-622.2509,-4105.7314
1540928500766,0.0050392975,0.05146838,-678.93854,-3990.719
1540928500782,0.004656974,0.048354786,-552.3527,-3483.9614
1540928500799,0.00442227,0.045559317,-327.6941,-2858.8828
1540928500815,0.0043935245,0.043347687,-55.474552,-2048.895
1540928500832,0.0043935245,0.041831866,130.26929,-1294.4033
1540928500849,0.0043935245,0.041011766,171.4936,-619.35944
1540928500865,0.0043935245,0.04042696,135.00171,-101.3608
1540928500881,0.0043935245,0.04007087,54.857376,212.46452
1540928500899,0.0043935245,0.039857753,3.9614885,281.49838
1540928500915,0.0043935245,0.03974235,-0.0072986474,176.54593
1540928500932,0.0043935245,0.039619345,-8.532421E-4,94.41027
1540928500949,0.0043935245,0.03950139,6.3303346E-4,37.294193
1540928500965,0.0043935245,0.03945275,0.005696713,-12.98663
1540928500998,0.00445371,0.039471388,26.904945,20.908108
1540928501032,0.00457408,0.039446093,68.88397,39.736164
1540928501048,0.0046171416,0.039411493,63.780647,-23.750591
1540928501065,0.004678994,0.039411493,57.5851,-31.410305
1540928501082,0.0047403956,0.039411493,57.210968,-8.164629
1540928501098,0.004801101,0.039411493,58.308563,18.169065
1540928501115,0.0048440164,0.039411493,58.89908,16.117285
