timestamp,x_acc,y_acc,z_acc
1540928604713,-0.22492532,0.42831525,9.760324
1540928604730,-0.26799613,0.36610186,9.683753
1540928604751,-0.27756742,0.28235307,9.750752
1540928604771,-0.27996024,0.27996024,9.74836
1540928604791,-0.2416751,0.19142582,9.750752
1540928604812,-0.21296121,0.2536392,9.705289
1540928604833,-0.2009971,0.33020952,9.609575
1540928604848,-0.25603202,0.3182454,9.640682
1540928604863,-0.2536392,0.29671,9.71486
1540928604882,-0.27038896,0.24646074,9.777073
1540928604899,-0.22013968,0.2847459,9.738789
1540928604911,-0.21535404,0.30867413,9.695718
1540928604930,-0.19621146,0.42592242,9.640682
1540928604940,-0.21296121,0.485743,9.664611
1540928604960,-0.18903299,0.5766702,9.652647
1540928604970,-0.1794617,0.5982057,9.633504
1540928604980,-0.16749759,0.62452674,9.678967
1540928605000,-0.124426775,0.5838487,9.717253
1540928605010,-0.11006984,0.53359944,9.738789
1540928605020,-0.11006984,0.5024927,9.767502
1540928605030,-0.13878371,0.4761717,9.769895
1540928605051,-0.22731815,0.4953143,9.717253
1540928605062,-0.22013968,0.5168497,9.667004
1540928605080,-0.16510476,0.50488555,9.698111
1540928605099,-0.11964113,0.52163535,9.760324
1540928605109,-0.1268196,0.46899325,9.77468
1540928605128,-0.21535404,0.32303107,9.760324
1540928605145,-0.19621146,0.3493521,9.781859
1540928605156,-0.18185452,0.3589234,9.786645
1540928605169,-0.16271193,0.38285163,9.765109
1540928605179,-0.17467605,0.44027936,9.741181
1540928605198,-0.18424734,0.40677986,9.726824
1540928605217,-0.22971097,0.3469593,9.7196455
1540928605227,-0.26799613,0.33499518,9.683753
1540928605247,-0.3182454,0.35653058,9.571291
1540928605267,-0.35653058,0.40677986,9.406186
1540928605277,-0.3469593,0.4354937,9.296116
1540928605297,-0.31345975,0.3397808,9.032906
1540928605314,-0.29910284,0.16749759,8.705089
1540928605334,-0.3684947,0.011964113,8.209774
1540928605344,-0.3900301,0.0071784677,7.884351
1540928605367,-0.3589234,-0.086141616,7.1569324
1540928605387,-0.37806597,-0.15314065,6.7764735
1540928605406,-0.4761717,-0.09810573,6.7166533
1540928605415,-0.51445687,-0.014356935,6.7022963
1540928605425,-0.5455636,0.069391854,6.812366
1540928605445,-0.567099,0.08853444,7.288538
1540928605456,-0.6963114,0.0047856453,7.623533
1540928605465,-0.863809,-0.016749758,7.989635
1540928605475,-1.026521,0.11485548,8.5112705
1540928605485,-1.119841,0.2656033,9.018549
1540928605495,-1.1557333,0.16749759,9.513863
1540928605515,-1.3136597,-0.05742774,9.815358
1540928605524,-1.2658032,0.0047856453,10.021141
1540928605534,-1.1724831,0.05742774,10.310673
1540928605544,-1.1796615,0.08135597,10.619347
1540928605554,-1.174876,0.15074782,10.504492
1540928605564,-1.4835501,-0.16031912,10.8682
1540928605574,-2.4646072,1.1126626,11.822937
1540928605596,-2.2301106,2.050649,15.3188505
1540928605613,-1.4739788,0.97866446,15.498312
1540928605633,-0.33020952,-0.22253251,13.445271
1540928605643,-0.0741775,-0.3589234,12.339787
1540928605653,0.016749758,-0.1698904,11.425728
1540928605670,0.08135597,0.059820566,10.054641
1540928605680,0.078963146,0.10049855,9.726824
