timestamp,x_acc,y_acc,z_acc
1540916649750,-0.02871387,0.24885355,9.894321
1540916649761,0.0071784677,0.3684947,9.434899
1540916649775,-0.0071784677,0.3469593,9.38465
1540916649791,-0.0071784677,0.29192436,9.363115
1540916649803,0.0047856453,0.31106696,9.391829
1540916649814,0.0023928226,0.32303107,9.454042
1540916649824,-0.033499517,0.35653058,9.530613
1540916649835,-0.023928227,0.3493521,9.616755
1540916649851,-0.09810573,0.35174492,9.49472
1540916649865,-0.11724831,0.31106696,9.439685
1540916649875,-0.11006984,0.31106696,9.401401
1540916649893,-0.086141616,0.42831525,9.58804
1540916649904,-0.11006984,0.44985065,9.693324
1540916649914,-0.078963146,0.45224348,9.750752
1540916649934,-0.086141616,0.44506502,9.712467
1540916649954,-0.05742774,0.47138608,9.5760765
1540916649964,-0.11485548,0.5192425,9.542577
1540916649983,-0.17706887,0.46899325,9.614362
1540916649993,-0.148355,0.4211368,9.671789
1540916650003,-0.11724831,0.39481574,9.712467
1540916650013,-0.12921242,0.3900301,9.765109
1540916650033,-0.12203395,0.4881358,9.671789
1540916650043,-0.11485548,0.49292147,9.590433
1540916650060,-0.16271193,0.44745782,9.475577
1540916650071,-0.1698904,0.45942193,9.406186
1540916650083,-0.16749759,0.46899325,9.32483
1540916650092,-0.1794617,0.44027936,9.21476
1540916650103,-0.19860429,0.45224348,9.083155
1540916650122,-0.24885355,0.4235296,8.812766
1540916650132,-0.24885355,0.3684947,8.611769
1540916650142,-0.27756742,0.29192436,8.367701
1540916650152,-0.31106696,0.2416751,8.0614195
1540916650162,-0.38763726,0.16031912,7.6977105
1540916650172,-0.5024927,0.043070808,7.2550383
1540916650191,-0.6197411,-0.2440679,6.317052
1540916650201,-0.6053841,-0.39481574,5.936593
1540916650211,-0.5383851,-0.4833502,5.704489
1540916650221,-0.4881358,-0.4977071,5.5800624
1540916650231,-0.49052864,-0.44506502,5.5896335
1540916650241,-0.45224348,-0.45942193,5.5800624
1540916650253,-0.35174492,-0.6029913,5.56092
1540916650271,-0.21296121,-0.9762716,5.852844
1540916650290,-0.086141616,-1.134198,6.7740808
1540916650301,-0.038285162,-1.1557333,7.381858
1540916650320,-0.31345975,-1.174876,8.719446
1540916650340,-0.5192425,-0.8757731,9.908679
1540916650350,-0.60059845,-0.9020941,10.325029
1540916650360,-0.7369894,-0.82313097,10.738988
1540916650370,-0.96909314,-0.7369894,11.229517
1540916650380,-1.2658032,-0.66041905,11.531013
1540916650399,-2.0817556,-0.45702913,11.844472
1540916650409,-2.2660031,-0.25842485,11.696117
1540916650419,-3.117848,-0.81834537,11.428121
1540916650429,-4.3908296,0.9667004,11.99522
1540916650439,-3.9960139,1.7587247,14.577076
1540916650459,-3.5581272,0.53359944,17.295322
1540916650469,-3.129812,0.37806597,17.568104
1540916650486,-1.995614,-0.8135597,14.780465
1540916650498,-1.6366907,-0.8997013,13.339986
1540916650516,-1.0959128,-0.9619147,11.475977
1540916650536,-0.91405827,-0.31345975,10.293923
1540916650548,-0.8757731,0.08135597,9.985249
1540916650568,-1.0289137,0.30149564,9.786645
1540916650578,-1.1389836,0.3182454,9.822537
1540916650588,-1.1964114,0.26799613,9.882358
1540916650607,-1.3016955,0.23449662,9.899107
1540916650618,-1.3734802,0.30149564,9.80818
1540916650637,-1.4476577,0.038285162,9.602397
1540916650657,-1.6606189,-0.21774685,9.5665045
1540916650677,-1.5984055,-0.32303107,9.506684
1540916650688,-1.6271194,-0.33020952,9.485149
1540916650707,-1.6247265,-0.38524446,9.444471
1540916650716,-1.5816557,-0.34217364,9.367901
1540916650727,-1.5744773,-0.31106696,9.348758
1540916650746,-1.5433706,-0.27756742,9.305687
1540916650756,-1.5744773,-0.27756742,9.298509
1540916650773,-1.727618,-0.30388847,9.389436
1540916650783,-1.7611175,-0.28953153,9.4636135
1540916650795,-1.753939,-0.2321038,9.600004
1540916650816,-1.8281165,-0.22013968,9.693324
1540916650835,-1.7443677,-0.22013968,9.683753
1540916650855,-1.7611175,-0.23688944,9.597611
1540916650874,-1.7108682,-0.2727818,9.45165
1540916650885,-1.6965113,-0.27996024,9.442079
1540916650904,-1.6366907,-0.2847459,9.45165
1540916650915,-1.6151553,-0.26081768,9.470792
1540916650934,-1.6223338,-0.27038896,9.482756
1540916650954,-1.5337993,-0.37567315,9.540184
