timestamp,x,y,x_velocity,y_velocity
1540916672840,0.04890053,0.037075553,139.29985,0.024874674
1540916672896,0.048772395,0.036977984,-109.08603,-108.576416
1540916672912,0.048653565,0.036859725,-112.59872,-112.07025
1540916672928,0.048441797,0.036742475,-241.52469,-119.27386
1540916672943,0.04820914,0.03665628,-268.78125,-93.5842
1540916672960,0.048060544,0.03665628,-220.1956,-15.575219
1540916672976,0.047938995,0.03665628,-159.13464,27.622675
1540916672995,0.047812775,0.03665628,-108.49565,49.998337
1540916673011,0.047632933,0.03665628,-88.58848,46.457546
1540916673028,0.047420654,0.03665628,-145.79176,17.991552
1540916673044,0.047213923,0.03665628,-219.54184,-0.024363283
1540916673060,0.04701467,0.036596384,-226.37688,-24.27434
1540916673077,0.04685037,0.0365027,-193.51277,-69.68272
1540916673095,0.046728898,0.036476593,-135.42184,-87.9739
1540916673112,0.046607252,0.036476593,-88.27522,-54.844097
1540916673128,0.046489883,0.036476593,-77.707535,6.5495763
1540916673144,0.04637007,0.036476593,-84.42301,35.527794
1540916673161,0.046248022,0.036476593,-111.44811,25.434593
1540916673176,0.046126623,0.036476593,-113.175575,3.596995
1540916673194,0.046003204,0.036476593,-114.5756,-0.017788187
1540916673211,0.045886546,0.036476593,-113.6674,-0.0020015568
1540916673228,0.04583108,0.036476593,-110.86042,-0.04664159
1540916673277,0.045800988,0.036476593,0.0,0.0
1540916673393,0.045800988,0.03653649,0.0,0.0
1540916673411,0.045896184,0.036795646,173.16716,395.2895
1540916673427,0.046155095,0.037533816,315.72778,904.64886
1540916673443,0.046536617,0.039078876,434.75354,1663.5074
1540916673460,0.04699466,0.041849256,512.6965,2682.8748
1540916673477,0.047444116,0.04600239,546.69806,3940.0864
1540916673493,0.047666732,0.051099073,448.09396,5178.9937
1540916673510,0.04785886,0.055993386,248.8925,6037.8955
1540916673527,0.04790747,0.061253384,52.8374,6125.626
1540916673543,0.04790747,0.0659177,-92.11608,5371.067
1540916673560,0.047813553,0.06961881,-152.1268,4232.729
1540916673577,0.047753103,0.072434686,-155.63686,2988.9202
1540916673594,0.047726914,0.07380814,-143.50697,1569.0771
1540916673610,0.047726914,0.074703336,-51.859837,193.27882
1540916673627,0.047726914,0.07500499,6.5866947,-599.1227
1540916673643,0.047726914,0.07514578,36.089466,-812.0018
1540916673660,0.047726914,0.075199276,25.132925,-642.3718
1540916673710,0.047726914,0.07502274,0.04155054,-103.91836
1540916673743,0.047726914,0.07498965,0.0060899495,18.037771
1540916673810,0.0477871,0.0750364,-0.0061896723,55.697906
1540916673827,0.0477871,0.07513939,0.028073952,144.97523
1540916673843,0.0477871,0.07518957,0.005794925,57.312668
1540916673876,0.047847286,0.07516933,36.0933,-27.608482
1540916674009,0.04790747,0.07516933,0.0,0.0
1540916674075,0.047967657,0.07516933,0.0,0.0
1540916674109,0.04802784,0.07516933,37.756718,0.0
1540916674243,0.04802784,0.075109445,0.0,0.0
1540916674277,0.047937565,0.07504954,-157.65474,14.912179
1540916674294,0.04789409,0.07504954,-76.52858,17.728474
