timestamp,x_acc,y_acc,z_acc
1540916636326,0.20578274,0.19142582,9.722038
1540916636340,0.15792629,0.12203395,9.772287
1540916636361,0.19381863,0.20817557,9.647861
1540916636374,0.1698904,0.18185452,9.645468
1540916636385,0.15553348,0.18664017,9.710074
1540916636397,0.15314065,0.20817557,9.738789
1540916636415,0.15792629,0.27038896,9.769895
1540916636433,0.16510476,0.42592242,9.762716
1540916636444,0.16271193,0.3924229,9.726824
1540916636466,0.14117654,0.33020952,9.592826
1540916636485,0.15553348,0.2536392,9.580862
1540916636506,0.17467605,0.2416751,9.643075
1540916636524,0.1698904,0.26081768,9.789038
1540916636535,0.19142582,0.2416751,9.796216
1540916636546,0.19142582,0.20338993,9.784252
1540916636563,0.16749759,0.2632105,9.712467
1540916636573,0.15553348,0.3062813,9.638289
1540916636586,0.19860429,0.3062813,9.626326
1540916636605,0.17706887,0.36370903,9.631111
1540916636615,0.16031912,0.32063824,9.683753
1540916636625,0.17467605,0.28235307,9.734002
1540916636635,0.16271193,0.27996024,9.743574
1540916636645,0.17228323,0.32303107,9.789038
1540916636655,0.16510476,0.34217364,9.796216
1540916636676,0.18664017,0.3469593,9.698111
1540916636686,0.1794617,0.3469593,9.640682
1540916636705,0.18185452,0.33020952,9.631111
1540916636715,0.20817557,0.29671,9.611969
1540916636725,0.21774685,0.32063824,9.645468
1540916636735,0.20578274,0.31585258,9.669396
1540916636745,0.16031912,0.3182454,9.664611
1540916636755,0.16031912,0.33260235,9.647861
1540916636765,0.15792629,0.3062813,9.619147
1540916636784,0.076570325,0.34456646,9.487542
1540916636794,0.09092726,0.31106696,9.415757
1540916636804,0.076570325,0.23688944,9.355937
1540916636814,0.050249275,0.19381863,9.30808
1540916636824,0.033499517,0.148355,9.243474
1540916636834,0.011964113,0.148355,9.15494
1540916636844,0.0047856453,0.11724831,8.992228
1540916636854,-0.011964113,0.0526421,8.745767
1540916636864,-0.043070808,-0.03589234,8.415557
1540916636884,-0.14117654,-0.31585258,7.597212
1540916636894,-0.20578274,-0.4354937,7.135397
1540916636903,-0.28953153,-0.59342,6.6711893
1540916636913,-0.3684947,-0.7082755,6.1471615
1540916636923,-0.3924229,-0.8063812,5.759524
1540916636933,-0.44745782,-0.88295156,5.4053864
1540916636943,-0.4331009,-0.8446664,5.2259245
1540916636953,-0.44027936,-0.7585248,5.0943193
